Date,Adj Close,Ticker
8/14/2013,1685.390015,S&P
8/15/2013,1661.319946,S&P
8/16/2013,1655.829956,S&P
8/19/2013,1646.060059,S&P
8/20/2013,1652.349976,S&P
8/21/2013,1642.800049,S&P
8/22/2013,1656.959961,S&P
8/23/2013,1663.5,S&P
8/26/2013,1656.780029,S&P
8/27/2013,1630.47998,S&P
8/28/2013,1634.959961,S&P
8/29/2013,1638.170044,S&P
8/30/2013,1632.969971,S&P
9/3/2013,1639.77002,S&P
9/4/2013,1653.079956,S&P
9/5/2013,1655.079956,S&P
9/6/2013,1655.170044,S&P
9/9/2013,1671.709961,S&P
9/10/2013,1683.98999,S&P
9/11/2013,1689.130005,S&P
9/12/2013,1683.420044,S&P
9/13/2013,1687.98999,S&P
9/16/2013,1697.599976,S&P
9/17/2013,1704.76001,S&P
9/18/2013,1725.52002,S&P
9/19/2013,1722.339966,S&P
9/20/2013,1709.910034,S&P
9/23/2013,1701.839966,S&P
9/24/2013,1697.420044,S&P
9/25/2013,1692.77002,S&P
9/26/2013,1698.670044,S&P
9/27/2013,1691.75,S&P
9/30/2013,1681.550049,S&P
10/1/2013,1695,S&P
10/2/2013,1693.869995,S&P
10/3/2013,1678.660034,S&P
10/4/2013,1690.5,S&P
10/7/2013,1676.119995,S&P
10/8/2013,1655.449951,S&P
10/9/2013,1656.400024,S&P
10/10/2013,1692.560059,S&P
10/11/2013,1703.199951,S&P
10/14/2013,1710.140015,S&P
10/15/2013,1698.060059,S&P
10/16/2013,1721.540039,S&P
10/17/2013,1733.150024,S&P
10/18/2013,1744.5,S&P
10/21/2013,1744.660034,S&P
10/22/2013,1754.670044,S&P
10/23/2013,1746.380005,S&P
10/24/2013,1752.069946,S&P
10/25/2013,1759.77002,S&P
10/28/2013,1762.109985,S&P
10/29/2013,1771.949951,S&P
10/30/2013,1763.310059,S&P
10/31/2013,1756.540039,S&P
11/1/2013,1761.640015,S&P
11/4/2013,1767.930054,S&P
11/5/2013,1762.969971,S&P
11/6/2013,1770.48999,S&P
11/7/2013,1747.150024,S&P
11/8/2013,1770.609985,S&P
11/11/2013,1771.890015,S&P
11/12/2013,1767.689941,S&P
11/13/2013,1782,S&P
11/14/2013,1790.619995,S&P
11/15/2013,1798.180054,S&P
11/18/2013,1791.530029,S&P
11/19/2013,1787.869995,S&P
11/20/2013,1781.369995,S&P
11/21/2013,1795.849976,S&P
11/22/2013,1804.76001,S&P
11/25/2013,1802.47998,S&P
11/26/2013,1802.75,S&P
11/27/2013,1807.22998,S&P
11/29/2013,1805.810059,S&P
12/2/2013,1800.900024,S&P
12/3/2013,1795.150024,S&P
12/4/2013,1792.810059,S&P
12/5/2013,1785.030029,S&P
12/6/2013,1805.089966,S&P
12/9/2013,1808.369995,S&P
12/10/2013,1802.619995,S&P
12/11/2013,1782.219971,S&P
12/12/2013,1775.5,S&P
12/13/2013,1775.319946,S&P
12/16/2013,1786.540039,S&P
12/17/2013,1781,S&P
12/18/2013,1810.650024,S&P
12/19/2013,1809.599976,S&P
12/20/2013,1818.319946,S&P
12/23/2013,1827.98999,S&P
12/24/2013,1833.319946,S&P
12/26/2013,1842.02002,S&P
12/27/2013,1841.400024,S&P
12/30/2013,1841.069946,S&P
12/31/2013,1848.359985,S&P
1/2/2014,1831.97998,S&P
1/3/2014,1831.369995,S&P
1/6/2014,1826.77002,S&P
1/7/2014,1837.880005,S&P
1/8/2014,1837.48999,S&P
1/9/2014,1838.130005,S&P
1/10/2014,1842.369995,S&P
1/13/2014,1819.199951,S&P
1/14/2014,1838.880005,S&P
1/15/2014,1848.380005,S&P
1/16/2014,1845.890015,S&P
1/17/2014,1838.699951,S&P
1/21/2014,1843.800049,S&P
1/22/2014,1844.859985,S&P
1/23/2014,1828.459961,S&P
1/24/2014,1790.290039,S&P
1/27/2014,1781.560059,S&P
1/28/2014,1792.5,S&P
1/29/2014,1774.199951,S&P
1/30/2014,1794.189941,S&P
1/31/2014,1782.589966,S&P
2/3/2014,1741.890015,S&P
2/4/2014,1755.199951,S&P
2/5/2014,1751.640015,S&P
2/6/2014,1773.430054,S&P
2/7/2014,1797.02002,S&P
2/10/2014,1799.839966,S&P
2/11/2014,1819.75,S&P
2/12/2014,1819.26001,S&P
2/13/2014,1829.829956,S&P
2/14/2014,1838.630005,S&P
2/18/2014,1840.76001,S&P
2/19/2014,1828.75,S&P
2/20/2014,1839.780029,S&P
